,SubID,TrialType,RT,ACC
254,6,congruent,1000,1
255,6,congruent,819,1
256,6,incongruent,555,1
257,6,congruent,572,1
258,6,congruent,888,1
259,6,incongruent,518,1
260,6,incongruent,511,1
261,6,congruent,880,1
262,6,congruent,755,1
263,6,incongruent,493,1
264,6,incongruent,536,1
265,6,congruent,590,1
266,6,incongruent,640,1
267,6,congruent,498,1
268,6,incongruent,560,1
269,6,incongruent,722,1
270,6,congruent,686,1
271,6,congruent,723,1
272,6,congruent,856,1
273,6,incongruent,488,1
274,6,congruent,812,1
275,6,incongruent,601,1
276,6,congruent,1178,1
277,6,incongruent,595,1
278,6,congruent,453,1
279,6,incongruent,680,1
280,6,congruent,562,1
281,6,incongruent,550,1
282,6,congruent,552,1
284,6,congruent,499,1
285,6,incongruent,1441,1
286,6,incongruent,955,1
287,6,congruent,518,1
288,6,incongruent,607,1
289,6,congruent,1167,1
290,6,congruent,877,1
291,6,incongruent,527,1
292,6,congruent,635,1
293,6,incongruent,469,1
294,6,incongruent,542,1
295,6,congruent,636,1
296,6,incongruent,1054,1
297,6,incongruent,502,1
298,6,congruent,1077,1
299,6,congruent,664,1
300,6,congruent,1543,1
301,6,incongruent,746,1
302,6,congruent,537,1
303,6,incongruent,528,1
304,6,incongruent,396,1
305,6,incongruent,556,1
306,8,congruent,1409,1
307,8,incongruent,616,1
308,8,incongruent,607,1
309,8,congruent,572,1
310,8,incongruent,520,1
311,8,congruent,548,1
312,8,congruent,466,1
313,8,incongruent,625,1
314,8,incongruent,488,1
315,8,incongruent,548,1
316,8,congruent,457,1
317,8,congruent,384,1
318,8,congruent,430,1
319,8,congruent,367,1
320,8,incongruent,402,1
321,8,incongruent,406,1
322,8,incongruent,417,1
323,8,congruent,864,1
324,8,incongruent,816,1
325,8,congruent,648,1
326,8,incongruent,796,1
327,8,incongruent,614,1
328,8,congruent,725,1
329,8,congruent,458,1
330,8,incongruent,696,1
331,8,congruent,552,1
332,8,incongruent,609,1
333,8,congruent,621,1
334,8,incongruent,588,1
335,8,congruent,694,1
336,8,incongruent,490,1
337,8,congruent,758,1
338,8,incongruent,616,1
339,8,incongruent,559,1
340,8,congruent,817,1
341,8,congruent,553,1
342,8,incongruent,458,1
343,8,congruent,401,1
344,8,congruent,436,1
345,8,incongruent,509,1
346,8,congruent,502,1
347,8,incongruent,477,1
348,8,incongruent,437,1
349,8,congruent,423,1
350,8,congruent,485,1
351,8,congruent,411,1
352,8,incongruent,430,1
353,8,incongruent,439,1
354,8,congruent,560,1
355,8,incongruent,538,1
356,8,incongruent,488,1
357,8,congruent,661,1
358,8,incongruent,564,1
359,8,congruent,520,1
360,8,incongruent,537,1
361,8,congruent,584,1
362,8,congruent,577,1
363,8,incongruent,568,1
364,8,congruent,588,1
365,8,incongruent,598,1
366,8,congruent,575,1
367,8,incongruent,630,1
368,8,congruent,608,1
369,8,incongruent,468,1
370,8,incongruent,547,1
371,8,congruent,625,1
372,8,incongruent,528,1
373,8,congruent,543,1
374,8,incongruent,726,1
375,8,congruent,443,1
376,8,congruent,598,1
377,8,incongruent,600,1
378,8,congruent,690,1
379,8,congruent,502,1
380,8,incongruent,517,1
381,8,incongruent,494,1
382,8,incongruent,585,1
383,8,congruent,481,1
384,8,congruent,569,1
385,8,incongruent,574,1
386,8,congruent,468,1
387,8,congruent,493,1
388,8,incongruent,489,1
389,8,incongruent,516,1
390,8,congruent,670,1
391,8,incongruent,968,1
392,8,congruent,629,1
393,8,incongruent,583,1
394,8,congruent,790,1
395,8,incongruent,536,1
396,8,incongruent,559,1
397,8,congruent,587,1
398,8,congruent,594,1
399,8,incongruent,451,1
400,8,congruent,519,1
401,8,incongruent,528,1
402,8,congruent,460,1
403,8,incongruent,499,1
404,8,congruent,1161,1
405,8,incongruent,480,1
406,8,incongruent,593,1
